"syntax","description","expression","tio_link"
"⍉∘⌽Ym","Rotate 90° counter-clockwise","⎕←     3 3⍴⍳9
⎕← ⍉∘⌽ 3 3⍴⍳9","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExRAwFjB@FHvlke9my25oKKPejsfdcx41LMXSe7/fwA"
"⍉∘⍪Yv","Forming first row of a matrix for later expansion","⎕← ⍴     1 2 3
⎕← ⍴ ⍉∘⍪ 1 2 3","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9W5RAAFDBSMFYy4kwUe9nY86ZjzqXQWR@v8fAA"
"⍉∘⍪Yv","Reshaping vector Yv into a one-row matrix","⎕← ⍴     1 2 3
⎕← ⍴ ⍉∘⍪ 1 2 3","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9W5RAAFDBSMFYy4kwUe9nY86ZjzqXQWR@v8fAA"
"A+.×Nv","Summation over subsets of Nv specified by rows of A","⎕← (4 3⍴1 0 1,0 1 1,1 1 1,1 0 0) +.× 3 1 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0TBSMH/VuMVQwUDDUAWIgaQglDRQMNBW09Q5PVzAGipj8/w8A"
"X∧.=Yv","Comparing vector Yv with rows of array X","m ← ↑'Finn' 'Gary' 'Gary' 'Anna' 'Carl' 'Dana' 'Carl' 'Gary' 'Gary' 'Beau'
⎕← m
⎕← m ∧.= 'Gary'","https://tio.run/##SyzI0U2pTMzJT///P1fhUdsEIJ6o7paZl6euoO6eWFSJoBzz8hKBlHNiUQ6QcklE5qGqdEpNLFXnetQ3FWReLpyh8KhjuZ4tVNX//wA"
"I∊⍨∘⍳Jv","Boolean array of shape Jv with ones in locations Iv (inverse of ⍸Bv)","⎕← 2 4 7 ∊⍨∘⍳ 10","https://tio.run/##ASoA1f9hcGwtZHlhbG9n///ijpXihpAgMiA0IDcg4oiK4o2o4oiY4o2zIDEw//8"
",[⍳2]Y","Merge the leading two axes of Y","⎕← a ← 2 3 4⍴⍳24
⎕← ⍴ a
⎕← ,[⍳2] a
⎕← ⍴ ,[⍳2] a","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQSFUCkkYKxgsmj3i2PejcbmXBBpYB8hUQYRycaJBeLEADJwgX//wcA"
"∘.⊢⍨Yv","Square matrix with Yv as rows","⎕← ∘.⊢⍨ 1 2 3 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedczQe9S16FHvCgVDBSMFYwWT//8B"
"∘.⊣⍨Yv","Square matrix with Yv as columns","⎕← ∘.⊣⍨ 1 2 3 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedczQe9S1@FHvCgVDBSMFYwWT//8B"
"Mv⊥⍨∘⍪Nv","Evaluate polynomial with descending coefficients Mv for point(s) Nv","⎕← 3 ¯1 4 ⊥⍨∘⍪ 0 1 2 3  ⍝ f(x) = 3x²-x+4 for x in {0,1,2,3}","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFQ6tN1QwUXjUtfRR74pHHTMe9a5SMFAwVDACSik86p2rkKZRoalgq2BccWiTboW2iUJafpFChUJmnkK1gY6hjpGOce3//wA"
"Cv⎕NPUT⍨∘⊂Dv","Write text (vector or vector of vectors) Dv to Unicode file Cv","'myfile.txt' (⎕NPUT⍨∘⊂) 'Hello' 'World'
⎕← ⎕NGET 'myfile.txt'","https://tio.run/##SyzI0U2pTMzJT///Xz23Mi0zJ1WvpKJEXUHjUd9Uv4DQkEe9Kx51zHjU1aSpoO6RmpOTr66gHp5flJOizgVU8ahtggJIobtriAKy9v//AQ"
"M(⌊÷)N","Floored division","⎕← ¯10 10 ¯10 10 (⌊÷) ¯3 ¯3 3 3","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQOrTc0UAAiGK3xqKfr8HZNIN8YjIHw/38A"
"(¯1*~)B","Map 0/1 to ¯1/1","⎕← (¯1*~) 1 0 1 1 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0Dq031KrTVDBUMABiIPn/PwA"
"(,⍤0)Y","Increment rank by inserting a new dimension after the trailing one","⎕← ⍴ (,⍤0) 'abc'
⎕← ⍴ (,⍤0) 3 4⍴⎕A","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9W5R0NB51LvEQFNBPTEpWZ0Li4SxggmQC5Rw/P8fAA"
"Is(⊃⌽)Yv","Pick item of vector Yv at cyclic offset Is (like ⎕IO←0, default Is:¯1)","⎕← 7 (⊃⌽) 'abcdef'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTMFTQedTU/6tmrqaCemJSckpqm/v8/AA"
"X(1=⍸)Y","Is Y within the range [ 1⌷X , 2⌷X ) ?","⎕← 1 3 (1=⍸) 0
⎕← 1 3 (1=⍸) 1
⎕← 1 3 (1=⍸) 2
⎕← 1 3 (1=⍸) 3
⎕← 1 3 (1=⍸) 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwVNAxtH/Xu0FQw4MIiaIhN0AiboDE2QZP//wE"
"X(1≠⍸)Y","Is Y outside the range [ 1⌷X , 2⌷X ) ?","⎕← 1 3 (1≠⍸) 0
⎕← 1 3 (1≠⍸) 1
⎕← 1 3 (1≠⍸) 2
⎕← 1 3 (1≠⍸) 3
⎕← 1 3 (1≠⍸) 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwVNAwfdS541LtDU8GAC6uwIXZhI@zCxtiFTf7/BwA"
"(↓⍉)Ym","Matrix to vector of column vectors","⎕← (↓⍉) 3 4⍴⍳12","https://tio.run/##ASkA1v9hcGwtZHlhbG9n///ijpXihpAgKOKGk@KNiSkgMyA04o204o2zMTL//w"
"(⊃⎕NGET)Dv","Read Unicode text file Dv content as simple vector","(⊂'Hello' 'World')⎕NPUT 'myfile.txt'
⎕← (⊃⎕NGET) 'myfile.txt'","https://tio.run/##SyzI0U2pTMzJT///X@NRV5O6R2pOTr66gnp4flFOirrmo76pfgGhIQrquZVpmTmpeiUVJepcQMFHbRMUgOqbQfLuriGaKAr@/wcA"
"M(⊢-|)N","Largest whole multiple of M less than or equal to N (N rounded down to closest smaller multiple of M)","⎕← 10 (⊢-|) 9 10 11 19 20 21","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMDRQ0HnUt0q3RVLAEcQwNFQwtFYwMFIwM//8HAA"
"(⌽≡⊢)Dv","Is Dv a palindrome?","⎕← (⌽≡⊢) 'racecar'
⎕← (⌽≡⊢) 'carrace'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HvXsfdS58FHXIk0F9aLE5NTkxCJ1LmySQAmQvPr//wA"
"(=/⍴)Ym","Is Ym a square matrix?","⎕← (=/⍴) ↑'abc' 'def'
⎕← (=/⍴) ↑'ab' 'cd'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0bPUf9W7RVHjUNlE9MSlZXUE9JTVNnQurLFAyOUX9/38A"
"Is(*/⍴)Ns","Tetration: ᴺˢIs","⎕← 3 (*/⍴) 2
⎕← 2 (*/⍴) 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFTS09B/1btFUMOKCChnBhUz@/wcA"
"(⌈⌿|)N","Infinity-norm","⎕← (⌈⌿|) 3 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HvV0POrZX6OpYKxg8v8/AA"
"M(=⌿<)N","Is N outside the range ( 1⌷M , 2⌷M ] or ( 2⌷M , 1⌷M ] ?","⎕← 1 3 (=⌿<) 0
⎕← 1 3 (=⌿<) 1
⎕← 1 3 (=⌿<) 2
⎕← 1 3 (=⌿<) 3
⎕← 1 3 (=⌿<) 4
⎕← 3 1 (=⌿<) 0
⎕← 3 1 (=⌿<) 1
⎕← 3 1 (=⌿<) 2
⎕← 3 1 (=⌿<) 3
⎕← 3 1 (=⌿<) 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwVNGwf9ey30VQw4MIiaIhN0AiboDE2QROYoDFQGMMiZEFDbIJG2ASNsQma/P8PAA"
"M(=⌿≤)N","Is N outside the range [ 1⌷M , 2⌷M ) or [ 2⌷M , 1⌷M ) ?","⎕← 1 3 (=⌿≤) 0
⎕← 1 3 (=⌿≤) 1
⎕← 1 3 (=⌿≤) 2
⎕← 1 3 (=⌿≤) 3
⎕← 1 3 (=⌿≤) 4
⎕← 3 1 (=⌿≤) 0
⎕← 3 1 (=⌿≤) 1
⎕← 3 1 (=⌿≤) 2
⎕← 3 1 (=⌿≤) 3
⎕← 3 1 (=⌿≤) 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwVNGwf9ex/1LlEU8GAC6uwIXZhI@zCxtiFTWDCxkAJLFaiChtiFzbCLmyMXdjk/38A"
"M(≠⌿<)N","Is N within the range ( 1⌷M , 2⌷M ] or ( 2⌷M , 1⌷M ] ?","⎕← 1 3 (≠⌿<) 0
⎕← 1 3 (≠⌿<) 1
⎕← 1 3 (≠⌿<) 2
⎕← 1 3 (≠⌿<) 3
⎕← 1 3 (≠⌿<) 4
⎕← 3 1 (≠⌿<) 0
⎕← 3 1 (≠⌿<) 1
⎕← 3 1 (≠⌿<) 2
⎕← 3 1 (≠⌿<) 3
⎕← 3 1 (≠⌿<) 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwVNB51LnjUs99GU8GAC6uwIXZhI@zCxtiFTWDCxkAJLFaiChtiFzbCLmyMXdjk/38A"
"M(≠⌿≤)N","Is N within the range [ 1⌷M , 2⌷M ) or [ 2⌷M , 1⌷M ) ?","⎕← 1 3 (≠⌿≤) 0
⎕← 1 3 (≠⌿≤) 1
⎕← 1 3 (≠⌿≤) 2
⎕← 1 3 (≠⌿≤) 3
⎕← 1 3 (≠⌿≤) 4
⎕← 3 1 (≠⌿≤) 0
⎕← 3 1 (≠⌿≤) 1
⎕← 3 1 (≠⌿≤) 2
⎕← 3 1 (≠⌿≤) 3
⎕← 3 1 (≠⌿≤) 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwVNB51LnjUs/9R5xJNBQMuHBKGuCSMcEkY45IwgUkYA6WwWo4uYYhLwgiXhDEuCZP//wE"
"Xs(≠⊆⊢)Yv","Split Yv at occurrences of Xs (removes separators and empty segments)","⎕← '/' (≠⊆⊢) 'hello/there/world'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTU9dUVNB51LnjU1faoa5GmgnpGak5Ovn5JRmpRqn55flFOivr//wA"
"(¯1+2×⍳)Js","Odd integers from 1 to 2×Js","⎕← (¯1+2×⍳) 5
⎕← (¯1+2×⍳) 6","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0Dq031DY6PP1R72ZNBVMubKJm//8DAA"
"(⍳∘1⍤1)B","Convert permutation matrices in B to permutation vectors","⎕← (⍳∘1⍤1) ↑(1 0 0 0 0)(0 0 0 1 0)(0 1 0 0 0)(0 0 0 0 1)(0 0 1 0 0)","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HvVuftQxw/BR7xJDTYVHbRM1DBUMIFBTA8IwhDANUUWBAhAmWFzz/38A"
"(0,2×⍳)Js","Even integers from 0 to 2×Js","⎕← (0,2×⍳) 5
⎕← (0,2×⍳) 6","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0DHSMDk9/1LtZU8GUC1PM7P9/AA"
"X@(∊∘Y)Z","Replace all occurrences of elements from Y in array Z with X","⎕← 'x'@(∊∘'AEIOU') 'HELLO AND GOODBYE'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUK9QdNB51dD3qmKHu6OrpH6quqaDu4erj46/g6Oei4O7v7@IU6ar@/z8A"
"(⊢≡∪)Y","Are all major cells distinct?","⎕← (⊢≡∪) 'abcd'
⎕← (⊢≡∪) 'abca'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HnUtetS58FHHKk0F9cSk5BR1Lhwyier//wMA"
"(∪⍳⊢)Y","Consecutive ids (indices with equal major cells mapping to same index)","⎕← (∪⍳⊢) 2 7 1 8 2 8 1 8","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HnWsetS7@VHXIk0FIwVzBUMFCyBtAaL//wcA"
"(1↓0∘⍕)Js","Show all digits of integer Js (unknown digits as “_”)","⎕← 3.41252E10
⎕← (1↓0∘⍕) 3.41252E10","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSM9UwMjUyNXA0NuKAiGoaP2iYbPOqY8ah3qiaS/P//AA"
"∘.<⍨∘⍳Js","Upper triangular matrix without diagonal: Js by Js","⎕← ∘.<⍨∘⍳ 5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedczQs3nUuwJIP@rdrGD6/z8A"
"∘.≤⍨∘⍳Js","Upper triangular matrix with diagonal: Js by Js","⎕← ∘.≤⍨∘⍳ 5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedczQe9S55FHvCiDrUe9mBdP//wE"
"∘.≥⍨∘⍳Js","Lower triangular matrix with diagonal: Js by Js","⎕← ∘.≥⍨∘⍳ 5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedczQe9S59FHvCiDrUe9mBdP//wE"
"∘.>⍨∘⍳Js","Lower triangular matrix without diagonal: Js by Js","⎕← ∘.>⍨∘⍳ 5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedczQs3vUuwJIP@rdrGD6/z8A"
"(1=≢∘⍴)Y","Is Y a vector?","⎕← (1=≢∘⍴) 'Hello'
⎕← (1=≢∘⍴) 'H'
⎕← (1=≢∘⍴) ''","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0DG0fdS561DHjUe8WTQV1j9ScnHx1LhySuCTU//8HAA"
"(⌊1+10∘⍟)J","Number of digits in strictly positive integers in J","⎕← (⌊1+10∘⍟) 1618 1 271828","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HvV0GWobGjzqmPGod76mgqGZoYWCoYKRuaGFkcX//wA"
"(⊢÷+⌿)N","Normalise N so that sum is 1","⎕← (⊢÷+⌿) 3 1 4 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HnUtOrxd@1HPfk0FYwVDBRMFw///AQ"
"(1↑⍨⍤0-)I","Convert permutation vectors in I to permutation matrices","⎕← (1↑⍨⍤0-) 1 4 2 5 3","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0DB@1TXzUu@JR7xIDXU0FQwUTBSMFUwXj//8B"
"Iv(↑⍴∘⊂)Y","Iv copies of Y","⎕← 3 (↑⍴∘⊂) 'abc'","https://tio.run/##ASsA1P9hcGwtZHlhbG9n///ijpXihpAgMyAo4oaR4o204oiY4oqCKSAnYWJjJ///"
"(↑,∘⊂)Y","Increment rank by inserting a new dimension before the leading one","⎕← ⍴ (↑,∘⊂) 'abc'
⎕← ⍴ (↑,∘⊂) 3 4⍴⎕A","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9W5R0HjUNlHnUceMR11NmgrqiUnJ6ly4ZI0VTIBiQFnH//8B"
"Xv(⍸-∊⍨)Yv","Indices of items of Yv in right-inclusive intervals with cut-offs Xv","⎕← 'AEIOU' (⍸-∊⍨) 'DYALOG'
⎕← 2 4 6 (⍸-∊⍨) 1 2 3 4 5 6 7","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUHV09/UPVFTQe9e7QfdTR9ah3haaCukuko4@/uzoXVJGRgomCGaoSQ6CgMVDYFChh/v8/AA"
"(1=≢∘∪)Y","Are all major cells of Y identical?","⎕← (1=≢∘∪) 'abc' 'abc' 'abc'
⎕← (1=≢∘∪) 'abc' 'abc' 'abd'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0DG0fdS561DHjUccqTQX1xKRkdWSSixhlKer//wMA"
"M(⌊∘-⍣2)N","Force numbers N to range (-M)≤N≤M","⎕← 3 (⌊∘-⍣2) 0 1 ¯2 4 ¯5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFTQe9XQ96pih@6h3sZGmgoGCocKh9UYKJkDS9P9/AA"
"(∧\<⊢)B","Turn off all 1s before first 0 (remove leading 1s)","⎕← (∧\<⊢) 1 1 0 0 1 1 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HnUsj7F51LVIU8EQCA2AEEQb/v8PAA"
"(∨\≤⊢)B","Turn on all 0s before first 1 (add leading 0s)","⎕← (∨\≤⊢) 0 0 1 0 0 1 1 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HnWsiHnUueRR1yJNBQMgNISSQPj/PwA"
"(⌊0.5+⊢)N","Rounding to nearest integer (favouring up)","⎕← (⌊0.5+⊢) 31.4 1.5 92.6","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HvV0GeiZaj/qWqSpYGyoZ6JgqGeqYGmkZ/b/PwA"
"Mv(1⊥∘|-)Nv","Manhattan distance between two points in N-space","⎕← 0 0 ¯1 1 (1⊥∘|-) 0 3 0 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMgPDQekMFQwUNw0ddSx91zKjR1QSKGYNk/v8HAA"
"(3600÷⍨60∘⊥)Ns","Convert hours,minutes,seconds to decimal degrees/hours","⎕← (3600÷⍨60∘⊥) 1 15 0","https://tio.run/##AS8A0P9hcGwtZHlhbG9n///ijpXihpAgKDM2MDDDt@KNqDYw4oiY4oqlKSAxIDE1IDD//w"
"(¯1⊥¨⍪⍀)N","An array that begins with 1↑N and has pair-wise sums 1↓N","⎕← (¯1⊥¨,\) 3,4 5 5 6
⎕← 2 +/ (¯1⊥¨,\) 3,4 5 5 6","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0Dq03fNS19NAKnRhNBWMdEwVTIDTjgsoaKWjr41Dy/z8A"
"(1≡≡∧⍬≡⍴)Y","Is Y an object representation (⎕OR)?","Foo←{⍺+⍵}
⎕←(1≡≡∧⍬≡⍴)⎕NR'Foo'
⎕←(1≡≡∧⍬≡⍴)⎕OR'Foo'","https://tio.run/##SyzI0U2pTMzJT///3y0//1HbhOpHvbu0H/VureV61DcVyNcwfNS5EIQ6lj/qXQNi9G7RBEr5BakDNagTUOUPUfX/PwA"
"(↑,∘⊂⍤1)Y","Increment rank by inserting a new dimension before the trailing one","⎕← ⍴ (↑,∘⊂⍤1) 2 3 4⍴⎕A","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9W5R0HjUNlHnUceMR11Nj3qXGGoqGCkYK5gAZYBqHP//BwA"
"X(6≠⍳+3×⍸)Y","Is Y outside the range ( 1⌷X , 2⌷X )","⎕← 1 3 (6≠⍳+3×⍸) 0
⎕← 1 3 (6≠⍳+3×⍸) 1
⎕← 1 3 (6≠⍳+3×⍸) 2
⎕← 1 3 (6≠⍳+3×⍸) 3
⎕← 1 3 (6≠⍳+3×⍸) 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwVNMwedS541LtZ2/jw9Ee9OzQVDLjwyRrilTXCK2uMV9bk/38A"
"(×∘*⍨⍣¯1)N","Main branch of the Lambert W function (N≥-*¯1)","⎕← (×∘*⍨⍣¯1) 0 1 (*1) (*1+*1) (2÷⍨*÷2)","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0Dk9/1DFD61Hvike9iw@tN9RUMFAwVNDQAjKAhDaYNjq8HSivdXi7keb//wA"
"Is(⊃∘⍋⌷⊢)Y","Is-smallest (default: the smallest) major cell of Y","names ← 'Bob' 'Dan' 'Cal' 'Abe'
⎕← 2 (⊃∘⍋⌷⊢) names
⎕← (⊃∘⍋⌷⊢) names","https://tio.run/##SyzI0U2pTMzJT///Py8xN7VY4VHbBAV1p/wkdQV1l8Q8IOmcmAMkHZNS1bke9U0FSRspaDzqan7UMeNRb/ejnu2PuhZpKoA1wxTgkP7/HwA"
"(⍳∘≢≡⍋)N","Is N Non-decreasing?","⎕← (⍳∘≢≡⍋) 31 41 59 26
⎕← (⍳∘≢≡⍋) 31 41 59 265
⎕← (⍳∘≢≡⍋) 27 1828 1828 4590","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HvVuftQx41HnokedCx/1dmsqGBsqmBgqmFoqGJlxEaPIFLcqI3MFQwsjCwhhYmpp8P8/AA"
"Is(⊃∘⍒⌷⊢)Y","Is-largest (default: the largest) major cell of Y","names ← 'Bob' 'Dan' 'Cal' 'Abe'
⎕← 2 (⊃∘⍒⌷⊢) names
⎕← (⊃∘⍒⌷⊢) names","https://tio.run/##SyzI0U2pTMzJT///Py8xN7VY4VHbBAV1p/wkdQV1l8Q8IOmcmAMkHZNS1bke9U0FSRspaDzqan7UMeNR76RHPdsfdS3SVABrhinAIf3/PwA"
"(⍳∘≢≡⍒)N","Is N Non-increasing?","⎕← (⍳∘≢≡⍒) 314 159 265
⎕← (⍳∘≢≡⍒) 314 159 26 5
⎕← (⍳∘≢≡⍒) 2700 1828 1828 459","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HvVuftQx41HnokedCx/1TtJUMDY0UTA0tVQwMjPlIkKRAh5VRuYGBgqGFkYWEMLE1PL/fwA"
"(××0 60 60⊤3600×|)Ns","Convert decimal degrees/hours to hours,minutes,seconds","⎕← (××0 60 60⊤3600×|) 1.25","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0Dk8/PN1AwQyEHnUtMTYzMDg8vUZTwVDPyPT/fwA"
"Is(⊢+⊣×0=⊢)J","Change all 0s in J into Is","⎕← 10 (⊢+⊣×0=⊢) 3 1 0 2 7 0 0 1 6","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMDRQ0HnUt0n7UtfjwdANbIFNTwVjBUMFAwUjBHEgaANlm//8DAA"
"(⊢÷⌈⌿∘|)N","Normalisation by Infinity-norm","⎕← (⊢÷⌈⌿∘|) 3 4","https://tio.run/##ASoA1f9hcGwtZHlhbG9n///ijpXihpAgKOKKosO34oyI4oy/4oiYfCkgMyA0//8"
"(⊢⍴⍨¯2↑1 1,⍴)Ym","Increase rank scalar/vector/matrix Ym to 2 (matrix: 1-row if vector, 1-column if scalar)","⎕← ⍴ ⎕← (⊢⍴⍨¯2↑1 1,⍴) 'a'
⎕← ⍴ ⎕← (⊢⍴⍨¯2↑1 1,⍴) 'abc'
⎕← ⍴ ⎕← (⊢⍴⍨¯2↑1 1,⍴) 2 3⍴'abcdef'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9W5RgDI1HnUtAnIf9a44tN7oUdtEQwVDHSBfU0E9UZ2LJOVJySRpMFIwBtIgbSmpaer//wMA"
"(2∘⍴⍴1,⍴∘0)Jv","Diagonal matrix of size Jv (n or m,n)","⎕←(2∘⍴⍴1,⍴∘0) 3","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtEzSMHnXMeNS7BYgMdUB0xwwDTQXj//8B"
"(↑∘,∘⊂⍤¯1)Y","Increment rank by inserting a new dimension after the leading one","⎕← ⍴ (↑∘,∘⊂⍤¯1) 2 3 4⍴⎕A","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9W5R0HjUNvFRxwwdIH7U1fSod8mh9YaaCkYKxgomQGmgQsf//wE"
"(+/1=⊢∨⍳)Js","Euler's totient function (fastest up to about 1000)","⎕← (+/1=⊢∨⍳) 1000","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0tPUNbR91LXrUseJR72ZNBUMDA4P//wE"
"(⍳∘≢↑¨⊂)Y","Prefixes","⎕← (⍳∘≢↑¨⊂) 'ABCD'
⎕← (⍳∘≢↑¨⊂) ⍪'ABCD'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HvVuftQx41HnokdtEw@teNTVpKmg7ujk7KLOhUfFo95VEEX//wMA"
"(2÷⍨⍳+⍸)⍨Nv","Assign ranking based on non-descending scores Nv (ties all get average ranking of used slots)","⎕← (2÷⍨⍳+⍸)⍨ 3 3 3 5 8 8 21","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0jA5vf9S74lHvZu1HvTs0gUwFYzA0VbAAQiPD//8B"
"X(1=4 9⍸⍳+3×⍸)Y","Is Y within the range [ 1⌷X , 2⌷X ]","⎕← 1 3 (1=4 9⍸⍳+3×⍸) 0
⎕← 1 3 (1=4 9⍸⍳+3×⍸) 1
⎕← 1 3 (1=4 9⍸⍳+3×⍸) 2
⎕← 1 3 (1=4 9⍸⍳+3×⍸) 3
⎕← 1 3 (1=4 9⍸⍳+3×⍸) 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwVNAxtTRQsH/XueNS7Wdv48HQgS1PBgIuQCkOCKowIqjAmqMLk/38A"
"X(1=6 9⍸⍳+3×⍸)Y","Is Y within the range ( 1⌷X , 2⌷X ]","⎕← 1 3 (1=6 9⍸⍳+3×⍸) 0
⎕← 1 3 (1=6 9⍸⍳+3×⍸) 1
⎕← 1 3 (1=6 9⍸⍳+3×⍸) 2
⎕← 1 3 (1=6 9⍸⍳+3×⍸) 3
⎕← 1 3 (1=6 9⍸⍳+3×⍸) 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwVNAxtzRQsH/XueNS7Wdv48HQgS1PBgIuQCkOCKowIqjAmqMLk/38A"
"X(1≠4 9⍸⍳+3×⍸)Y","Is Y outside the range [ 1⌷X , 2⌷X ]","⎕← 1 3 (1≠4 9⍸⍳+3×⍸) 0
⎕← 1 3 (1≠4 9⍸⍳+3×⍸) 1
⎕← 1 3 (1≠4 9⍸⍳+3×⍸) 2
⎕← 1 3 (1≠4 9⍸⍳+3×⍸) 3
⎕← 1 3 (1≠4 9⍸⍳+3×⍸) 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwVNAwfdS4wUbB81LvjUe9mbePD04EsTQUDLsJqDIlQY0SEGmMi1Jj8/w8A"
"X(1≠6 9⍸⍳+3×⍸)Y","Is Y outside the range ( 1⌷X , 2⌷X ]","⎕← 1 3 (1≠6 9⍸⍳+3×⍸) 0
⎕← 1 3 (1≠6 9⍸⍳+3×⍸) 1
⎕← 1 3 (1≠6 9⍸⍳+3×⍸) 2
⎕← 1 3 (1≠6 9⍸⍳+3×⍸) 3
⎕← 1 3 (1≠6 9⍸⍳+3×⍸) 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwVNAwfdS4wU7B81LvjUe9mbePD04EsTQUDLsJqDIlQY0SEGmMi1Jj8/w8A"
"(1=≢∘∪∘,)Y","Are all elements of simple Y equal?","⎕← (1=≢∘∪∘,) 2 3⍴'a'
⎕← (1=≢∘∪∘,) 2 3⍴'ab'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0DG0fdS561DHjUccqIKmjqWCkYPyod4t6ojoXQSVJ6v//AwA"
"(+⍀1⍪2≢⌿⊢)Y","Increment on change: Array of same shape as Y beginning with 1 and increasing for each change in adjacent values","⎕← (+⍀1⍪2≢⌿⊢) 'Mississippi'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0tB/1Nhg@6l1l9Khz0aOe/Y@6FmkqqPtmFheDUEFBpvr//wA"
"(⊃∘⎕NGET 1,⍨⊂)Dv","Read Unicode text file Dv content as nested vector","(⊂'Hello' 'World')⎕NPUT 'myfile.txt'
⎕← (⊃∘⎕NGET 1,⍨⊂) 'myfile.txt'","https://tio.run/##SyzI0U2pTMzJT///X@NRV5O6R2pOTr66gnp4flFOirrmo76pfgGhIQrquZVpmTmpeiUVJepcQMFHbRMUgOqbH3XMAClxdw1RMNR51LsCaIQmiuL//wE"
